shop_id,shop_name,good_summary,last_updated
22050812,山城一锅,"肉类不错(188),口味不错(475),食材不错(136),服务热情(290),环境不错(232),食材新鲜(80),牛肉不错(105),锅底不错(93)",2016-01-05 22:20:21
22037665,太和殿精致麻辣火锅(外滩店),"肉类不错(25),服务热情(28),食材不错(19),环境不错(28),口味不错(26),禽肉不错(14),食材新鲜(8),海鲜不错(10)",2016-01-05 22:20:30
21946728,红盔甲(斜土路店),"海鲜不错(863),肉类不错(268),口味不错(913),服务热情(309),羊肉不错(94),环境不错(179),烧烤不错(78),猪肉不错(71)",2016-01-05 22:20:34
21865211,小三宝火锅(静安店),"食材新鲜(315),食材不错(543),服务热情(1380),肉类不错(435),口味不错(1097),环境不错(654),牛肉不错(250),锅底不错(217)",2016-01-05 22:20:39
2186323,红辣椒(安信店),"海鲜不错(351),服务热情(2006),口味不错(1306),肉类不错(251),环境不错(513),性价比较高(292),食材不错(184),份量足(86)",2016-01-05 22:20:42
21792571,蜀城巷子老成都火锅,"肉类不错(128),饮品不错(117),口味不错(372),服务热情(183),环境不错(115),性价比较高(86),食材不错(80),牛肉不错(70)",2016-01-05 22:20:48
21761749,聚辣重庆麻辣火锅(虹口足球场店),"肉类不错(281),口味不错(922),服务热情(581),环境不错(430),食材不错(199),性价比较高(280),食材新鲜(106),牛肉不错(129)",2016-01-05 22:20:49
21760312,重庆熬家老火锅,"肉类不错(181),食材新鲜(80),食材不错(131),口味不错(378),服务热情(246),牛肉不错(92),环境不错(114),性价比较高(76)",2016-01-05 22:20:53
21734514,牦牛仔青海原生态火锅,"肉类不错(59),牛肉不错(38),口味不错(45),环境不错(40),羊肉不错(14),服务热情(27),牛肉嫩(8),份量足(7),性价比较高(10)",2016-01-05 22:20:56
21730061,青花椒砂锅鱼(三钢里店),"海鲜不错(1221),点心不错(320),口味不错(1777),服务热情(709),汤羹煲不错(206),环境不错(249),性价比较高(213),份量足(115)",2016-01-05 22:20:58
21721034,将军捞火锅,"肉类不错(53),服务热情(200),食材不错(51),食材新鲜(27),口味不错(172),环境不错(135),性价比较高(45),海鲜不错(29)",2016-01-05 22:21:02
21678163,铜炉湾·潮汕牛肉火锅(世博源店),"肉类不错(450),牛肉不错(355),牛肉嫩(82),口味不错(349),服务热情(207),环境不错(149),酱料不错(69),汤羹煲不错(59)",2016-01-05 22:21:06
21656942,林记五哥,"肉类不错(122),牛肉不错(89),口味不错(115),食材不错(32),服务热情(81),卤味好吃(28),环境不错(57),饮品不错(19)",2016-01-05 22:21:10
21647417,洞子张老匠火锅(徐家汇店),"肉类不错(132),服务热情(553),食材不错(97),口味不错(383),牛肉不错(63),食材新鲜(49),环境不错(121),性价比较高(82)",2016-01-05 22:21:14
21562060,陈记牛州潮汕牛肉火锅(板泉路店),"肉类不错(142),牛肉不错(125),牛肉嫩(29),牛肉新鲜(21),口味不错(90),服务热情(34),食材不错(17),饮品不错(12)",2016-01-05 22:21:17
21560884,鱼乐水产(五角场店),"海鲜不错(1147),食材新鲜(519),口味不错(1266),食材不错(726),服务热情(1091),环境不错(835),锅底不错(192),饮品不错(175)",2016-01-05 22:21:22
21560193,鑫海湾海鲜姿造,"食材新鲜(621),食材不错(849),海鲜不错(771),口味不错(514),环境不错(345),性价比较高(279),服务热情(319),菜品新鲜(54)",2016-01-05 22:21:28
21360579,煲宫(陆家浜路店),"肉类不错(107),汤羹煲不错(102),服务热情(239),猪肉不错(67),口味不错(223),禽肉不错(55),环境不错(66),性价比较高(30)",2016-01-05 22:21:29
21353585,逗鱼-非常鱼火锅(虹口足球场店),"海鲜不错(584),口味不错(689),肉类不错(246),牛肉不错(147),环境不错(506),食材不错(132),食材新鲜(74),服务热情(424)",2016-01-05 22:21:39
21353468,煲宫(打浦桥店),"肉类不错(222),汤羹煲不错(175),服务热情(589),口味不错(471),猪肉不错(160),禽肉不错(125),食材不错(84),环境不错(173)",2016-01-05 22:21:40
21351979,七欣天品蟹轩(浦东店),"海鲜不错(152),口味不错(238),服务热情(141),环境不错(79),性价比较高(38),肉类不错(26),牛肉不错(11)",2016-01-05 22:21:44
21303576,丽江印象斑鱼府(浦东店),"海鲜不错(811),食材新鲜(103),汤羹煲不错(189),口味不错(503),食材不错(168),服务热情(281),肉类不错(90),环境不错(171)",2016-01-05 22:21:48
21303001,蜀中探味,"食材新鲜(101),食材不错(174),服务热情(467),肉类不错(124),口味不错(356),环境不错(273),性价比较高(108),牛肉不错(74)",2016-01-05 22:21:50
21245919,季悦火锅(虹桥迎宾馆店),"食材不错(48),食材新鲜(29),服务热情(73),海鲜不错(34),环境不错(70),肉类不错(34),口味不错(42),牛肉不错(21)",2016-01-05 22:21:53
21178675,四川香天下火锅(淮海中路店),"肉类不错(179),口味不错(370),食材不错(121),食材新鲜(70),服务热情(232),环境不错(191),禽肉不错(66),性价比较高(67)",2016-01-05 22:21:57
21120347,风景菜韩国烤肉名家(静安寺店),"肉类不错(147),服务热情(325),口味不错(271),烧烤不错(58),猪肉不错(55),环境不错(55),点心不错(31),牛肉不错(27)",2016-01-05 22:22:01
21110762,融诚之  川东大院(中远两湾城店),"肉类不错(89),口味不错(243),牛肉不错(61),食材新鲜(36),环境不错(128),食材不错(59),服务热情(114),锅底不错(45)",2016-01-05 22:22:05
21097134,湖公馆,"食材新鲜(19),食材不错(24),菜品新鲜(3),服务热情(23),海鲜不错(10),环境不错(18),环境优雅(4),口味不错(14)",2016-01-05 22:22:28
21044342,牛牛火锅HolyCow 潮汕特色火锅(小木桥路店),"肉类不错(287),牛肉不错(241),牛肉新鲜(46),口味不错(227),牛肉嫩(45),服务热情(186),食材不错(56),环境不错(99),食材新鲜(33)",2016-01-05 22:24:37
21044246,洪太极(烤羊蝎子专门店),"肉类不错(629),羊肉不错(560),烧烤不错(217),口味不错(547),服务热情(234),羊肉嫩(53),性价比较高(92),份量足(38),环境不错(94)",2016-01-05 22:25:00
21043394,捞牛,"肉类不错(256),牛肉不错(214),口味不错(263),牛肉新鲜(50),服务热情(146),环境不错(94),食材不错(48),牛肉嫩(34),菜品新鲜(21)",2016-01-05 22:26:15
20926167,红辣椒(徐家汇店),"海鲜不错(530),服务热情(2658),口味不错(1503),肉类不错(262),性价比较高(297),食材不错(235),环境不错(415),份量足(123)",2016-01-05 22:26:27
20916623,重庆高老九火锅(南京东路店),"肉类不错(271),食材新鲜(138),口味不错(863),食材不错(237),服务热情(699),环境不错(299),海鲜不错(125),性价比较高(125)",2016-01-05 22:26:31
20843382,重庆高老九火锅(打浦桥店),"食材新鲜(134),肉类不错(217),口味不错(695),食材不错(214),服务热情(445),环境不错(227),性价比较高(147),海鲜不错(107)",2016-01-05 22:26:44
20841177,锅德城市火锅(静安晶品店),"食材新鲜(151),食材不错(265),服务热情(372),肉类不错(199),口味不错(370),环境不错(309),海鲜不错(117),牛肉不错(109)",2016-01-05 22:26:52
20780013,焱格格素食料理火锅,"口味不错(244),菌菇不错(75),服务热情(149),食材不错(72),环境不错(135),汤羹煲不错(64),锅底不错(61),点心不错(40)",2016-01-05 22:26:57
20651070,热辣壹号(淮海中路百盛店),"肉类不错(240),口味不错(634),食材新鲜(114),服务热情(533),食材不错(208),环境不错(294),牛肉不错(150),锅底不错(91)",2016-01-05 22:27:00
2014165,海底捞火锅店(吴中路店),"服务热情(3403),肉类不错(554),口味不错(1699),环境不错(969),食材不错(379),海鲜不错(359),主食不错(371),面不错(339),牛肉不错(334)",2016-01-05 22:27:04
19821464,小辉哥火锅(金桥国际店),"食材不错(240),食材新鲜(166),口味不错(465),服务热情(265),肉类不错(176),环境不错(224),牛肉不错(113),海鲜不错(93)",2016-01-05 22:27:13
19651391,蜀公馆成都老火锅(五角场万达店),"肉类不错(189),服务热情(854),食材不错(164),口味不错(660),环境不错(283),性价比较高(157),食材新鲜(82),牛肉不错(95)",2016-01-05 22:27:15
19643403,大队长主题火锅(上海徐汇店),"肉类不错(324),食材新鲜(140),服务热情(1023),食材不错(266),口味不错(908),环境不错(512),牛肉不错(119),性价比较高(109)",2016-01-05 22:27:19
