link,title
http://toutiao.io/r/z5534a,培训机构出来的 iOS 学员怎么了？
http://toutiao.io/r/lbpx8a,我感觉到的前端变化
http://toutiao.io/r/hflij0,常用数据结构及复杂度
http://toutiao.io/r/qxxtg5,[PDF] 跟我一起写 Makefile（2005）
http://toutiao.io/r/9e93m4,微信 Android 客户端架构演进之路
http://toutiao.io/r/gjztc5,在 Docker 中完整部署 Web 应用
http://toutiao.io/r/x6o82c,[译] Mesos 和 YARN 的区别以及它们如何协同工作
http://toutiao.io/r/608uew,跳跃表 Skip List（附 Java 实现）
http://toutiao.io/r/u97xe4,用 Swift 写围棋 App（九）：分片算法
http://toutiao.io/r/o1boe6,Jupyter 上的 Lua 与 torch7
http://toutiao.io/r/02kh4c,TcpRoute2：Golang 重写的 TcpRoute
http://toutiao.io/r/yowc3f,前端实现 SVG 转 PNG
