link,title
http://toutiao.io/r/vhu8uf,一个程序员的 2015 年的学习总结
http://toutiao.io/r/v1w3r6,用 Docker 和 Git 搭建在线开发环境
http://toutiao.io/r/q4vho1,2015 程序人生大串烧
http://toutiao.io/r/pkj3ei,使用 Python 写一个小小的项目监控（2014）
http://toutiao.io/r/c3d3r8,猿题库 iOS 客户端架构设计
http://toutiao.io/r/bgoirl,[译] Hacker News 网站 50 篇最佳文章
http://toutiao.io/r/1tjmwz,《开发者头条》Chrome 分享插件（需梯子）
http://toutiao.io/r/fiv5ui,讲一讲 JavaScript DOM
http://toutiao.io/r/b9lfan,域模型的价值
http://toutiao.io/r/3xszbx,频繁变化的团队如何打造团队文化
http://toutiao.io/r/vb346v,美图秀秀 DBA 谈 MySQL 运维及优化
http://toutiao.io/r/b21ix6,[译] 国外程序员整理的系统管理员资源大全
http://toutiao.io/r/7zkza5,Android 内存泄漏终极解决篇（上）
http://toutiao.io/r/b3ubj7,最牛的开源机器学习框架，你知道几个
http://toutiao.io/r/w4n9x3,MySQL 5.7 新特性大全和未来展望
http://toutiao.io/r/cpvmov,《AngularJS 深度剖析与最佳实践》简介
http://toutiao.io/r/p6zskq,探究 Node.js 中的 drain 事件
http://toutiao.io/r/tyu1dm,[译] Android 开发生僻却实用的知识点（二）
http://toutiao.io/r/3hlagm,Spark 中的 rollup
http://toutiao.io/r/zs0cyv,配置 IntelliJ 做为 Go 的 IDE
http://toutiao.io/r/yxzq8d,PeriscopeLayout - 一个类似 Android Periscope 点赞效果的 Layout
http://toutiao.io/r/01ngrt,巧用 SecureCRT 实现复杂的 ssh 登录过程自动化
http://toutiao.io/r/56fatk,[译] 前端绘制图形的几种方式
http://toutiao.io/r/m12930,[译] 在团队开发中使用 CocoaPods 的小技巧
http://toutiao.io/r/sdu53z,Jacman 基于 Pacman 修改的 Hexo 主题
http://toutiao.io/r/q4afay,Spark 动态资源分配
http://toutiao.io/r/ugemz0,不要用 AWS SDK 去造轮子
http://toutiao.io/r/gu1umd,如何在 Swift 中调用 C 库（入门篇）
http://toutiao.io/r/dy86hf,Android 移动平台中 NDEF 标签的扫描应用研究
http://toutiao.io/r/2uymsb,MASSCAN: Mass IP port scanner
http://toutiao.io/r/y24ycy,90 分钟极速入门 Linux
http://toutiao.io/r/dz6moo,JavaScript 核心基础
http://toutiao.io/r/kpk8an,27 岁的程序员应该怎么从发型、着装上提升自己？
http://toutiao.io/r/40ses9,初创团队如何招募靠谱的技术团队
http://toutiao.io/r/zsuac4,Android 动态加载技术系列索引
http://toutiao.io/r/9ewkex,另一份 Java 应用调优指南之前菜
http://toutiao.io/r/2v0rmo,图像验证码和大规模图像识别技术
http://toutiao.io/r/jhm06o,浅谈开源工具自动化运维阶段
http://toutiao.io/r/oela4s,章亦春的 OpenResty 和它的贡献者们
http://toutiao.io/r/y1bfwl,[译] 命令行的艺术
http://toutiao.io/r/p5q7du,Tomcat 源码深析之 web.xml 组件的处理
http://toutiao.io/r/3bgv4c,[译] 2016 年给大家的第一波设计圈干货大合集（多图）
http://toutiao.io/r/f2omr5,[译] 用树莓派和显示器制作一面 “魔镜”
http://toutiao.io/r/hc3de0,Understanding cPython by Patching – part 1
http://toutiao.io/r/mf2u49,[译] 回顾过去一年容器技术的发展
http://toutiao.io/r/iyukf2,NodeJieba：“结巴” 中文分词的 Node.js 版本
http://toutiao.io/r/25tw3n,Svpa：基于 Koajs 的开源字符头像服务
http://toutiao.io/r/s7hhrp,Hadoop 基准测试
http://toutiao.io/r/tvhfjs,TTGTagCollectionView：显示文字 / 自定义标签库（OC）
http://toutiao.io/r/54u8nx,给创业码农的话：如何提升开发效率
http://toutiao.io/r/2j1379,[PDF] 《Python Cookbook》第三版（中文版）
http://toutiao.io/r/jbzl7y,淘宝数据产品技术架构分析
http://toutiao.io/r/amlwq6,2015 年做设计我最大的思考和收获
http://toutiao.io/r/q0l6ed,[译] Java 日志记录的 5 条规则
http://toutiao.io/r/howzit,手把手教你 74 行代码实现手写数字识别
http://toutiao.io/r/3fk41e,如何设计你的 2016 年年度计划
http://toutiao.io/r/bman6p,境外 “暗黑客栈” 组织对国内企业高管发起 APT 攻击
http://toutiao.io/r/dc263h,iOS 实现 App 之间的内容分享
http://toutiao.io/r/st7p27,redux 源码阅读笔记
http://toutiao.io/r/jebwq0,[译] 为什么我为 css 变量如此兴奋
http://toutiao.io/r/0bf79y,"Modern application architectures (Reactive programming, MVVM and beyond)"
http://toutiao.io/r/wkn6cy,[译] 2016 年六大 OpenStack & Docker 发展趋势预测
http://toutiao.io/r/zfkrfz,[PDF] GlusterFS 分布式文件系统
http://toutiao.io/r/stfpp5,React Native 动画（多图）
http://toutiao.io/r/2pq5oq,[译] YC 掌门人论 “项目” 与 “公司” 的区别
http://toutiao.io/r/mrvfm5,Swift 中数据类型精度的一点探索
http://toutiao.io/r/c8267a,[译] 掌握 iOS 8 中的动态文本
http://toutiao.io/r/tljewl,GTA V 图形分析摘要
http://toutiao.io/r/kji6gg,Swift: Commonly Rejected Changes
